"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"1";"TIRTA SAMBAL SAOS";"BALA BALA KANTONG 0.5 KG";"6";"0,77 %";"85,71 %";"1,41 %";"60,78"
"2";"TIRTA SAMBAL SAOS";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"71,43 %";"1,54 %";"46,43"
"3";"TEPUNG BERAS CAP LOMBOK";"PATI MATAHARI";"6";"0,77 %";"60,00 %";"1,92 %";"31,20"
"4";"FERMIPAN ASLI";"TERIGU SEGITIGA";"6";"0,77 %";"66,67 %";"2,44 %";"27,37"
"5";"PETIS RAJAWALI 1 KG";"KACANG TANAH LOKAL";"5";"0,64 %";"55,56 %";"3,46 %";"16,05"
"6";"BALA BALA KANTONG 0.5 KG";"TELUR RAS A";"8";"1,03 %";"72,73 %";"6,79 %";"10,70"
"7";"TIRTA SAMBAL SAOS";"TELUR RAS A";"5";"0,64 %";"71,43 %";"6,79 %";"10,51"
"8";"LPG 3 KG";"BUBUK MURNI 0.25 KG";"5";"0,64 %";"55,56 %";"5,51 %";"10,08"
"9";"MIE SEDAP SOTO";"MIE SEDAP GORENG";"22";"2,82 %";"61,11 %";"6,92 %";"8,83"
"10";"SAMPOERNA AGA 10+2 1 PRES";"GG SURYA 12";"14";"1,79 %";"73,68 %";"10,51 %";"7,01"
"11";"DJ SCORE TEH MANIS 12";"TAJIMAS KING";"6";"0,77 %";"60,00 %";"8,72 %";"6,88"
"12";"GAJAH BARU INTERNATIONAL 12";"GG SURYA 12";"5";"0,64 %";"71,43 %";"10,51 %";"6,79"
"13";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS KING";"11";"1,41 %";"57,89 %";"8,72 %";"6,64"
"14";"GRENDEL BIRU 12 1 PRES";"GG SURYA 12";"19";"2,44 %";"63,33 %";"10,51 %";"6,02"
"15";"DJ SCORE TEH MANIS 12";"GG SURYA 12";"6";"0,77 %";"60,00 %";"10,51 %";"5,71"
"16";"GG DJAYA HIJAU 12 1 PRES";"GG SURYA 12";"7";"0,90 %";"58,33 %";"10,51 %";"5,55"
"17";"TERIGU CAKRA";"GULA PUTIH LOKAL";"5";"0,64 %";"83,33 %";"18,46 %";"4,51"
