"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"1";"TIRTA SAMBAL SAOS";"BALA BALA KANTONG 0.5 KG";"6";"0,77 %";"85,71 %";"1,41 %";"60,78"
"2";"BALA BALA KANTONG 0.5 KG";"TIRTA SAMBAL SAOS";"6";"0,77 %";"54,55 %";"0,90 %";"60,78"
"3";"TIRTA SAMBAL SAOS";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"71,43 %";"1,54 %";"46,43"
"4";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TIRTA SAMBAL SAOS";"5";"0,64 %";"41,67 %";"0,90 %";"46,43"
"5";"TEPUNG BERAS CAP LOMBOK";"PATI MATAHARI";"6";"0,77 %";"60,00 %";"1,92 %";"31,20"
"6";"PATI MATAHARI";"TEPUNG BERAS CAP LOMBOK";"6";"0,77 %";"40,00 %";"1,28 %";"31,20"
"7";"BALA BALA KANTONG 0.5 KG";"BIHUN JAGUNG PADAMU 380 GR MERAH";"5";"0,64 %";"45,45 %";"1,54 %";"29,55"
"8";"BIHUN JAGUNG PADAMU 380 GR MERAH";"BALA BALA KANTONG 0.5 KG";"5";"0,64 %";"41,67 %";"1,41 %";"29,55"
"9";"FERMIPAN ASLI";"TERIGU SEGITIGA";"6";"0,77 %";"66,67 %";"2,44 %";"27,37"
"10";"TERIGU SEGITIGA";"FERMIPAN ASLI";"6";"0,77 %";"31,58 %";"1,15 %";"27,37"
"11";"PATI MATAHARI";"ROSE BRAND 500 GR BERAS";"7";"0,90 %";"46,67 %";"2,69 %";"17,33"
"12";"ROSE BRAND 500 GR BERAS";"PATI MATAHARI";"7";"0,90 %";"33,33 %";"1,92 %";"17,33"
"13";"PETIS RAJAWALI 1 KG";"KACANG TANAH LOKAL";"5";"0,64 %";"55,56 %";"3,46 %";"16,05"
"14";"KACANG TANAH LOKAL";"PETIS RAJAWALI 1 KG";"5";"0,64 %";"18,52 %";"1,15 %";"16,05"
"15";"PATI MATAHARI";"TERIGU SEGITIGA";"5";"0,64 %";"33,33 %";"2,44 %";"13,68"
"16";"TERIGU SEGITIGA";"PATI MATAHARI";"5";"0,64 %";"26,32 %";"1,92 %";"13,68"
"17";"MIE SEDAP AYAM BAWANG";"MIE SEDAP SOTO";"8";"1,03 %";"53,33 %";"4,62 %";"11,56"
"18";"MIE SEDAP SOTO";"MIE SEDAP AYAM BAWANG";"8";"1,03 %";"22,22 %";"1,92 %";"11,56"
"19";"BALA BALA KANTONG 0.5 KG";"TELUR RAS A";"8";"1,03 %";"72,73 %";"6,79 %";"10,70"
"20";"TELUR RAS A";"BALA BALA KANTONG 0.5 KG";"8";"1,03 %";"15,09 %";"1,41 %";"10,70"
"21";"TIRTA SAMBAL SAOS";"TELUR RAS A";"5";"0,64 %";"71,43 %";"6,79 %";"10,51"
"22";"LPG 3 KG";"BUBUK MURNI 0.25 KG";"5";"0,64 %";"55,56 %";"5,51 %";"10,08"
"23";"BUBUK MURNI 0.25 KG";"LPG 3 KG";"5";"0,64 %";"11,63 %";"1,15 %";"10,08"
"24";"GG DJAYA HIJAU 12 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"5";"0,64 %";"41,67 %";"4,23 %";"9,85"
"25";"TAJIMAS GOLD GRENJENG 1 PRES";"GG DJAYA HIJAU 12 1 PRES";"5";"0,64 %";"15,15 %";"1,54 %";"9,85"
"26";"SAMPOERNA AGA 10+2 1 PRES";"GRENDEL BIRU 12 1 PRES";"7";"0,90 %";"36,84 %";"3,85 %";"9,58"
"27";"GRENDEL BIRU 12 1 PRES";"SAMPOERNA AGA 10+2 1 PRES";"7";"0,90 %";"23,33 %";"2,44 %";"9,58"
"28";"MIE SEDAP SOTO";"MIE SEDAP GORENG";"22";"2,82 %";"61,11 %";"6,92 %";"8,83"
"29";"MIE SEDAP GORENG";"MIE SEDAP SOTO";"22";"2,82 %";"40,74 %";"4,62 %";"8,83"
"30";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS GOLD GRENJENG 1 PRES";"11";"1,41 %";"34,38 %";"4,23 %";"8,13"
"31";"TAJIMAS GOLD GRENJENG 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"11";"1,41 %";"33,33 %";"4,10 %";"8,13"
"32";"SAMPOERNA AGA 10+2 1 PRES";"ANDALAN FILTER 12 5 PAK";"7";"0,90 %";"36,84 %";"4,74 %";"7,77"
"33";"ANDALAN FILTER 12 5 PAK";"SAMPOERNA AGA 10+2 1 PRES";"7";"0,90 %";"18,92 %";"2,44 %";"7,77"
"34";"MIE SEDAP AYAM BAWANG";"BAWANG PUTIH";"5";"0,64 %";"33,33 %";"4,36 %";"7,65"
"35";"BAWANG PUTIH";"MIE SEDAP AYAM BAWANG";"5";"0,64 %";"14,71 %";"1,92 %";"7,65"
"36";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"6";"0,77 %";"31,58 %";"4,23 %";"7,46"
"37";"TAJIMAS GOLD GRENJENG 1 PRES";"SAMPOERNA AGA 10+2 1 PRES";"6";"0,77 %";"18,18 %";"2,44 %";"7,46"
"38";"BIHUN JAGUNG PADAMU 380 GR MERAH";"TELUR RAS A";"6";"0,77 %";"50,00 %";"6,79 %";"7,36"
"39";"TELUR RAS A";"BIHUN JAGUNG PADAMU 380 GR MERAH";"6";"0,77 %";"11,32 %";"1,54 %";"7,36"
"40";"GRENDEL BIRU 12 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"9";"1,15 %";"30,00 %";"4,10 %";"7,31"
"41";"GRENDEL UTAMA ISI 5 PACK";"GRENDEL BIRU 12 1 PRES";"9";"1,15 %";"28,12 %";"3,85 %";"7,31"
"42";"MIE SEDAP KOREAN SPICY CHICKEN";"MIE SEDAP GORENG";"5";"0,64 %";"50,00 %";"6,92 %";"7,22"
"43";"SAMPOERNA AGA 10+2 1 PRES";"GG SURYA 12";"14";"1,79 %";"73,68 %";"10,51 %";"7,01"
"44";"GG SURYA 12";"SAMPOERNA AGA 10+2 1 PRES";"14";"1,79 %";"17,07 %";"2,44 %";"7,01"
"45";"DJ SCORE TEH MANIS 12";"TAJIMAS KING";"6";"0,77 %";"60,00 %";"8,72 %";"6,88"
"46";"GULA KELAPA BLITAR";"KACANG TANAH LOKAL";"5";"0,64 %";"23,81 %";"3,46 %";"6,88"
"47";"KACANG TANAH LOKAL";"GULA KELAPA BLITAR";"5";"0,64 %";"18,52 %";"2,69 %";"6,88"
"48";"GAJAH BARU INTERNATIONAL 12";"GG SURYA 12";"5";"0,64 %";"71,43 %";"10,51 %";"6,79"
"49";"MIE SEDAP AYAM BAWANG";"MIE SEDAP GORENG";"7";"0,90 %";"46,67 %";"6,92 %";"6,74"
"50";"MIE SEDAP GORENG";"MIE SEDAP AYAM BAWANG";"7";"0,90 %";"12,96 %";"1,92 %";"6,74"
"51";"SAMPOERNA AGA 10+2 1 PRES";"TAJIMAS KING";"11";"1,41 %";"57,89 %";"8,72 %";"6,64"
"52";"TAJIMAS KING";"SAMPOERNA AGA 10+2 1 PRES";"11";"1,41 %";"16,18 %";"2,44 %";"6,64"
"53";"SAMPOERNA AGA 10+2 1 PRES";"GRENDEL UTAMA ISI 5 PACK";"5";"0,64 %";"26,32 %";"4,10 %";"6,41"
"54";"GRENDEL UTAMA ISI 5 PACK";"SAMPOERNA AGA 10+2 1 PRES";"5";"0,64 %";"15,62 %";"2,44 %";"6,41"
"55";"TAJIMAS GOLD GRENJENG 1 PRES";"ANDALAN FILTER 12 5 PAK";"10";"1,28 %";"30,30 %";"4,74 %";"6,39"
"56";"ANDALAN FILTER 12 5 PAK";"TAJIMAS GOLD GRENJENG 1 PRES";"10";"1,28 %";"27,03 %";"4,23 %";"6,39"
"57";"BUBUK SATU SATU 250 G";"MIE SEDAP SOTO";"5";"0,64 %";"29,41 %";"4,62 %";"6,37"
"58";"MIE SEDAP SOTO";"BUBUK SATU SATU 250 G";"5";"0,64 %";"13,89 %";"2,18 %";"6,37"
"59";"ROSE BRAND 500 GR BERAS";"TERIGU BIASA";"6";"0,77 %";"28,57 %";"4,49 %";"6,37"
"60";"TERIGU BIASA";"ROSE BRAND 500 GR BERAS";"6";"0,77 %";"17,14 %";"2,69 %";"6,37"
"61";"GRENDEL BIRU 12 1 PRES";"GG SURYA 12";"19";"2,44 %";"63,33 %";"10,51 %";"6,02"
"62";"GG SURYA 12";"GRENDEL BIRU 12 1 PRES";"19";"2,44 %";"23,17 %";"3,85 %";"6,02"
"63";"BUBUK SATU SATU 250 G";"KRESEK LOREK JATAYU";"5";"0,64 %";"29,41 %";"5,00 %";"5,88"
"64";"KRESEK LOREK JATAYU";"BUBUK SATU SATU 250 G";"5";"0,64 %";"12,82 %";"2,18 %";"5,88"
"65";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS KING";"16";"2,05 %";"50,00 %";"8,72 %";"5,74"
"66";"TAJIMAS KING";"GRENDEL UTAMA ISI 5 PACK";"16";"2,05 %";"23,53 %";"4,10 %";"5,74"
"67";"DJ SCORE TEH MANIS 12";"GG SURYA 12";"6";"0,77 %";"60,00 %";"10,51 %";"5,71"
"68";"GG DJAYA HIJAU 12 1 PRES";"GG SURYA 12";"7";"0,90 %";"58,33 %";"10,51 %";"5,55"
"69";"GRENDEL BIRU 12 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"7";"0,90 %";"23,33 %";"4,23 %";"5,52"
"70";"TAJIMAS GOLD GRENJENG 1 PRES";"GRENDEL BIRU 12 1 PRES";"7";"0,90 %";"21,21 %";"3,85 %";"5,52"
"71";"GULA KELAPA BLITAR";"BAWANG PUTIH";"5";"0,64 %";"23,81 %";"4,36 %";"5,46"
"72";"BAWANG PUTIH";"GULA KELAPA BLITAR";"5";"0,64 %";"14,71 %";"2,69 %";"5,46"
"73";"KACANG TANAH LOKAL";"BUBUK MURNI 0.25 KG";"8";"1,03 %";"29,63 %";"5,51 %";"5,37"
"74";"BUBUK MURNI 0.25 KG";"KACANG TANAH LOKAL";"8";"1,03 %";"18,60 %";"3,46 %";"5,37"
"75";"GRENDEL BIRU 12 1 PRES";"TAJIMAS KING";"14";"1,79 %";"46,67 %";"8,72 %";"5,35"
"76";"TAJIMAS KING";"GRENDEL BIRU 12 1 PRES";"14";"1,79 %";"20,59 %";"3,85 %";"5,35"
