Transaction ID;Products;Date
T1;MIE SEDAP KOREAN SPICY CHICKEN, RICHOCO NABATI 6 GR COKLAT, SARI ROTI SANDWICH COKELAT, SOSRO FRUIT TEA 230 ML APPLE, TEH PUCUK HARUM 350 ML, YOU C 1000 ORANGE;2023-05-02
T2;BERAS CAP IKAN MUJAER 5 KG, DOWNY SCT 20 ML FLORAL PINK 1 RTG, MAMA LEMON 230 ML REF JERUK NIPIS;2023-05-03
T3;GULA PUTIH LOKAL, KANTONG TGG, TELUR RAS A;2023-05-03
T4;KAPAL API 6.5 G 1 RTG, SOKLIN SOFT 425 GR PURPLE LAVENDER, SWEETY BRONZE PANT XL1, TAJIMAS KING;2023-05-03
T5;COKLAT BONEKA, DANCOW COKLAT 38 GR, GOPEK 25 GR CHICKEN BBQ, KACANG TANAH LOKAL, MAMY LOVE PANT XL7, PIXY FF 100 GR BRIGHTENING, REX LOT 10 GR FREE SPIRIT, SOKLIN SCT SOFTERGENT SOFT SAKURA 1;2023-05-04
T6;KUE BASAH, MIGELAS SOSIS BBQ 28 GR, SGM 1+ EKSPLOR 150 GR MADU;2023-05-04
T7;LARUTAN K3 ANAK 250 ML LECI, LARUTAN K3 ANAK 250 ML STROWBERRY, PERMEN COKLAT KOIN, SGM 3+ 150 GR MADU;2023-05-06
T8;AGAR KIJANG MAS PUTIH 5 GR 1 KTK, GELAS JELLY 50 PCS, KEMIRI 0.25 KG, KETAN PUTIH GRADE A, MINYAK CURAH BIMOLI;2023-05-06
T9;DANCOW COKLAT 38 GR, MIE SEDAP GORENG, PASEO TRAVEL PACK 130 SHEET, SLAI OLAI 32 GR BLUEBERRY;2023-05-07
T10;AQUA 1500 ML, GULA PUTIH LOKAL, VIVA 100 ML FACE TONIC;2023-05-07
T11;GULA PUTIH LOKAL, HERBORIS BODY SRM 180 ML ORANGE & C, KRESEK LOREK JATAYU, LOVELY H&B 400 ML DEEP CARING;2023-05-08
T12;EKONOMI 900K PINK FLOWER, JB PWD BEDTIME EXTRA 150 + 50 GR, TOTAL 750GR HARUM SOFTENER, WALLS SWEET CORN 98 ML;2023-05-08
