Transaction ID;Products;Date;Categories;Codes
T1;MIE SEDAP KOREAN SPICY CHICKEN, RICHOCO NABATI 6 GR COKLAT, SARI ROTI SANDWICH COKELAT, SOSRO FRUIT TEA 230 ML APPLE, TEH PUCUK HARUM 350 ML, YOU C 1000 ORANGE;2023-05-02;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;202343, 532891, 952327, 855886, 600146, 510055
T2;BERAS CAP IKAN MUJAER 5 KG, DOWNY SCT 20 ML FLORAL PINK 1 RTG, MAMA LEMON 230 ML REF JERUK NIPIS;2023-05-03;MAKANAN, SABUN, SABUN;363636, 894609, 6107068
T3;GULA PUTIH LOKAL, KANTONG TGG, TELUR RAS A;2023-05-03;MAKANAN, PLASTIK & MIKA, MAKANAN;859384, 304048, 783492
T4;KAPAL API 6.5 G 1 RTG, SOKLIN SOFT 425 GR PURPLE LAVENDER, SWEETY BRONZE PANT XL1, TAJIMAS KING;2023-05-03;MAKANAN, SABUN, DIAPERS, ROKOK;105584, 808248, 953044, KING
T5;COKLAT BONEKA, DANCOW COKLAT 38 GR, GOPEK 25 GR CHICKEN BBQ, KACANG TANAH LOKAL, MAMY LOVE PANT XL7, PIXY FF 100 GR BRIGHTENING, REX LOT 10 GR FREE SPIRIT, SOKLIN SCT SOFTERGENT SOFT SAKURA 1;2023-05-04;MAKANAN, MAKANAN, MAKANAN, MAKANAN, DIAPERS, KOSMETIK, KOSMETIK, SABUN;CK, 6525030, 490049, 047902, 000182, 072885, 015024, 612197
T6;KUE BASAH, MIGELAS SOSIS BBQ 28 GR, SGM 1+ EKSPLOR 150 GR MADU;2023-05-04;MAKANAN, MAKANAN, MAKANAN;WING, 520420, 920981
T7;LARUTAN K3 ANAK 250 ML LECI, LARUTAN K3 ANAK 250 ML STROWBERRY, PERMEN COKLAT KOIN, SGM 3+ 150 GR MADU;2023-05-06;MAKANAN, MAKANAN, MAKANAN, MAKANAN;500995, 501015, KOIN, 923739
T8;AGAR KIJANG MAS PUTIH 5 GR 1 KTK, GELAS JELLY 50 PCS, KEMIRI 0.25 KG, KETAN PUTIH GRADE A, MINYAK CURAH BIMOLI;2023-05-06;MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN;123454, 012145, 586542, 466532, 986998
T9;DANCOW COKLAT 38 GR, MIE SEDAP GORENG, PASEO TRAVEL PACK 130 SHEET, SLAI OLAI 32 GR BLUEBERRY;2023-05-07;MAKANAN, MAKANAN, TISSU & KAPAS, MAKANAN;6525030, 200301, 131154, 304983
T10;AQUA 1500 ML, GULA PUTIH LOKAL, VIVA 100 ML FACE TONIC;2023-05-07;MAKANAN, MAKANAN, KOSMETIK;101091, 859384, 011303
T11;GULA PUTIH LOKAL, HERBORIS BODY SRM 180 ML ORANGE & C, KRESEK LOREK JATAYU, LOVELY H&B 400 ML DEEP CARING;2023-05-08;MAKANAN, KOSMETIK, PLASTIK & MIKA, KOSMETIK;859384, 225206, 256662, 109086
T12;EKONOMI 900K PINK FLOWER, JB PWD BEDTIME EXTRA 150 + 50 GR, TOTAL 750GR HARUM SOFTENER, WALLS SWEET CORN 98 ML;2023-05-08;SABUN, PERLENGKAPAN BAYI, SABUN, MAKANAN;613002, 109114, 120013, 591588
T13;DJI SAM SOE PREMIUM 12, MAXICORN ROASTED CORN 25 GR, TARO NET 36 GR COWNOY STEAK;2023-05-10;ROKOK, MAKANAN, MAKANAN;028999, 729009, 002497
T14;ABC CHOCO MALT COFFE 200ML, ATTACK PLUS SOFTENER 750GR, IMPLORA LIP MATTE CREAM 06 LUMIERE, KODOMO PG 45 GR STRAWBERRY, MILO UHT 180 ML, NUVO BW 250 ML WHITE HIJAB, PEPSODENT 190 GR WHITE COMPLETE;2023-05-10;MAKANAN, SABUN, KOSMETIK, PASTA GIGI, MAKANAN, SABUN, PASTA GIGI;122000, 002479, 0006006, 100229, 523067, 621533, 707781
T15;EKONOMI 500K ANTI NODA VIOLET, FRENCH FREIS 24 GR, GG SURYA 12, MIE SEDAP AYAM BAWANG, SARI ROTI SANDWICH COKELAT, SOSIS KIMBO  SO NICE  IGA BAKAR, WAFELLO ITALIA COCONUT 17 GR;2023-05-11;SABUN, MAKANAN, ROKOK, MAKANAN, MAKANAN, MAKANAN, MAKANAN;611121, 281481, 110129, 200318, 952327, SS, 358375
T16;HAPPY NAPPY DIAPER L20, PERMEN COKLAT KOIN, PIXY REF 12.2 GR NATURAL WHIT;2023-05-11;DIAPERS, MAKANAN, KOSMETIK;801222, KOIN, 071871
T17;BENG BENG 25 GR EXT CARAMEL 1 KTK, GERY CHOCOLATOS 1 DOS, GT CHOCOCHIP CHO 16 GR, KRESEK LOREK JATAYU, NABATI RICHO 8 GR  1 PACK, OREO ORIGINAL 1 KT, POCKY STRAWBERRY 21 GR;2023-05-12;MAKANAN, MAKANAN, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN;354124, 311608, 030325, 256662, 531696, 430184, 230573
T18;CHIKI BALLS 16 GR CURIOUS CHOCO, DJI SAM SOE 12, GERY SALUUT MALKIST DOUBLE ABON 105, PIATTOS SAMBAL GEPREK 35 GR, SAMPOERNA MILD 16, SUKI AYAM KECAP 24 GR;2023-05-12;MAKANAN, ROKOK, MAKANAN, MAKANAN, ROKOK, MAKANAN;591286, 028234, 002933, 004859, 096004, 001895
T19;AGAR KIJANG MAS HIJAU 5 GR, AGAR KIJANG MAS MERAH 5 GR, AGAR KIJANG MAS PUTIH 5 GR, CHARM NIGHT WING  35CM 12P;2023-05-13;MAKANAN, MAKANAN, MAKANAN, PEMBALUT WANITA;123478, 123461, 123454, 320286
T20;BELFOODS UENAAK SOSIS AYAM 75 GR, GIV 80 GR BENGKOANG, SOKLIN SOFT 215 GR  PURPLE;2023-05-14;MAKANAN, SABUN, SABUN;804343, 608305, 610070
T21;BEAR BRAND 189 ML, KARA SANTAN CAIR 65 ML, YAKULT 1 PRES;2023-05-16;MAKANAN, MAKANAN, MAKANAN;404441, 781025, YY
T22;ANDALAN FILTER 12 5 PAK, BAWANG PUTIH, GG SURYA 12  1 PRES, INDOMILK SKM 40 G SCT PUTIH 1 RTG, PARAMEX 10 SCT, SIDIA H&B 90 ML 6 PCS, TAJIMAS KING 5 PACK, TERIGU BIASA;2023-05-16;ROKOK, MAKANAN, ROKOK, MAKANAN, OBAT, KOSMETIK, ROKOK, MAKANAN;340239, 896564, 110129, 001557, 100206, 102162, KING, 985324
